,no_of_trainings,age,previous_year_rating,length_of_service,KPIs_met_more_than_80,awards_won,avg_training_score,clusters
101,1,37,5.0,4,0,0,82,3
102,1,27,3.5,1,1,0,86,3
103,1,33,3.5,1,1,0,59,2
104,1,31,1.0,2,1,0,53,1
105,3,38,3.0,5,0,0,49,1
106,1,32,5.0,2,1,0,72,3
107,1,29,3.0,4,0,0,84,3
108,1,37,4.0,9,0,0,50,1
109,2,42,3.0,12,0,0,60,2
110,2,32,5.0,5,1,0,88,3
111,1,45,3.0,3,0,0,60,2
112,1,28,3.0,7,0,0,83,3
113,1,35,1.0,9,0,0,81,3
114,3,28,3.0,5,0,0,48,1
115,1,37,1.0,3,1,0,59,2
116,1,38,4.0,7,1,0,88,3
117,1,31,1.0,6,0,0,68,3
118,2,43,3.0,2,0,0,69,2
119,1,32,3.0,2,1,0,62,2
120,1,24,4.0,2,1,0,69,2
121,1,52,5.0,8,0,0,59,2
122,1,38,5.0,2,0,0,88,3
123,1,35,3.0,4,0,0,59,2
124,1,39,5.0,4,0,1,81,3
125,1,31,3.0,5,1,0,65,3
126,1,37,3.0,5,0,0,57,2
127,1,27,3.5,1,0,0,80,3
128,1,37,5.0,9,1,0,56,2
129,2,31,3.0,5,1,0,81,3
130,1,28,5.0,4,1,0,85,3
131,1,26,3.0,3,0,0,77,3
132,1,49,4.0,7,1,0,62,2
133,1,34,3.0,9,0,0,68,3
134,1,38,3.0,2,0,0,58,2
135,1,52,4.0,4,1,0,51,1
136,3,31,1.0,7,1,0,50,1
137,1,24,1.0,2,0,0,82,3
138,2,26,5.0,3,1,0,86,3
139,1,31,2.0,5,0,0,66,2
140,1,43,1.0,4,1,0,86,3
141,4,37,3.0,6,0,0,68,3
142,1,37,4.0,4,0,0,50,1
143,1,37,5.0,9,1,0,53,2
144,1,32,5.0,8,1,0,58,2
145,1,30,4.0,2,0,0,53,1
146,1,30,5.0,4,1,0,71,3
147,1,27,4.0,3,0,0,50,1
148,2,36,4.0,8,0,0,45,1
149,4,30,3.0,2,0,0,78,3
150,1,49,4.0,19,0,0,73,3
151,1,38,5.0,5,0,0,63,1
152,1,29,3.0,6,0,0,51,1
153,1,48,3.0,6,1,0,81,3
154,1,29,3.5,1,0,0,53,1
155,1,59,4.0,13,0,0,82,3
156,1,36,5.0,5,1,0,62,2
157,1,28,3.0,3,0,0,59,2
158,2,27,4.0,2,1,0,68,3
159,1,25,3.0,2,0,0,62,2
160,1,30,5.0,6,1,0,52,1
161,1,23,3.5,1,0,0,51,2
162,1,28,3.5,1,0,0,50,2
163,1,38,4.0,5,1,0,48,1
164,1,30,3.5,1,1,0,45,1
165,1,53,4.0,21,0,0,53,2
166,1,35,3.0,8,0,0,45,1
167,1,45,3.0,14,1,0,53,2
168,1,40,1.0,8,0,0,51,1
169,1,39,3.0,8,0,0,58,2
170,1,46,4.0,6,0,0,82,3
171,2,29,3.0,3,0,0,79,3
172,1,28,3.5,1,1,0,84,3
173,1,34,4.0,6,1,0,82,3
174,1,23,3.5,1,1,0,47,1
175,1,38,5.0,3,0,0,51,1
176,1,32,3.0,5,0,0,52,2
177,1,33,3.0,5,1,0,58,2
178,1,39,4.0,9,0,0,70,3
179,4,36,3.0,6,0,0,71,3
180,2,33,4.0,4,0,0,59,2
181,1,29,4.0,6,1,0,45,1
182,1,32,3.0,5,0,0,85,3
183,1,26,3.0,2,1,0,46,1
184,1,38,3.0,3,0,0,82,3
185,1,42,2.0,15,0,0,70,3
186,1,30,5.0,6,0,0,60,2
187,2,28,3.5,1,0,0,83,3
188,1,36,4.0,6,0,0,47,1
189,1,56,5.0,6,0,0,84,3
190,1,30,3.0,5,0,0,51,1
191,2,25,3.5,1,0,0,50,1
192,1,29,5.0,6,1,0,49,2
193,1,36,2.0,7,0,0,47,1
194,1,39,3.0,4,0,0,80,3
195,1,30,5.0,4,1,0,84,3
196,2,42,3.0,9,0,0,84,3
197,2,37,4.0,9,0,0,49,1
198,1,31,2.0,2,1,0,66,3
199,1,32,4.0,6,1,0,48,1
200,1,40,5.0,11,1,0,59,2
201,2,39,5.0,10,1,0,58,2
202,1,40,4.0,10,1,0,47,1
203,1,23,1.0,2,0,0,45,2
204,2,28,3.5,1,0,0,60,2
205,1,37,2.0,4,0,0,51,1
206,1,23,3.5,1,1,0,58,2
207,1,37,3.0,9,0,0,61,2
208,1,29,5.0,3,1,0,54,2
209,1,38,4.0,10,0,0,55,2
210,2,39,4.0,10,0,0,57,2
211,2,38,5.0,7,1,0,48,1
212,1,34,3.0,4,0,0,69,3
213,1,48,5.0,21,0,0,69,3
214,1,29,5.0,4,0,0,82,3
215,1,37,4.0,7,1,0,81,3
216,2,23,3.5,1,1,0,53,1
217,1,47,5.0,2,1,0,63,2
218,1,31,1.0,3,0,0,50,1
219,1,28,3.0,4,0,0,83,3
220,2,32,4.0,6,1,0,57,2
221,1,33,2.0,4,1,0,71,3
222,2,28,3.5,1,1,0,58,2
223,1,32,3.5,1,1,0,62,2
224,1,34,3.0,10,0,0,67,2
225,1,38,5.0,3,1,0,52,1
226,1,28,4.0,5,0,0,79,3
227,1,34,3.0,3,0,0,87,3
228,1,44,2.0,16,0,0,70,3
229,1,28,3.0,4,0,0,69,3
230,1,31,1.0,5,1,0,61,2
231,1,34,2.0,5,0,0,84,3
232,1,22,3.0,2,1,0,71,2
233,1,20,3.5,1,0,0,76,3
234,1,32,3.0,7,1,0,66,3
235,1,43,3.0,6,1,0,80,3
236,1,42,5.0,13,1,0,85,3
237,1,41,3.0,8,1,0,54,2
238,1,27,3.0,2,0,0,84,3
239,1,41,4.0,9,0,0,56,2
240,1,26,5.0,2,1,0,76,3
241,1,35,5.0,10,1,0,85,3
242,1,28,1.0,3,0,0,58,1
243,1,50,1.0,9,0,0,46,2
244,1,29,3.5,1,1,1,46,3
245,2,37,1.0,10,0,0,49,1
246,2,35,3.0,8,1,0,64,2
247,1,29,4.0,4,0,0,51,1
248,1,36,5.0,8,0,0,47,1
249,1,22,3.5,1,1,0,79,2
250,1,36,3.0,3,0,0,55,2
251,2,37,4.0,2,0,0,71,2
252,1,30,3.0,4,0,0,83,3
253,2,26,2.0,2,0,0,54,2
254,2,28,5.0,3,1,0,68,3
255,1,49,4.0,9,0,0,61,2
256,1,29,5.0,2,1,0,84,3
257,1,35,5.0,7,1,0,70,3
258,1,32,2.0,6,0,0,90,3
259,1,42,3.0,4,0,0,54,1
260,1,37,4.0,5,0,0,76,3
261,1,28,5.0,2,0,0,45,1
262,1,38,4.0,2,1,1,97,3
263,2,39,4.0,5,1,0,86,3
264,1,28,5.0,2,1,0,87,3
265,2,34,3.0,10,0,0,60,2
266,1,37,3.0,3,0,0,63,2
267,2,38,1.0,6,0,0,51,1
268,1,24,5.0,2,1,0,57,2
269,1,36,3.0,7,0,0,52,1
270,1,41,2.0,15,0,0,70,3
271,2,29,3.5,1,0,0,60,2
272,2,59,1.0,15,0,0,76,3
273,1,29,3.0,1,0,0,48,1
274,1,29,5.0,3,0,0,57,2
275,3,31,1.0,5,0,0,51,1
276,1,31,5.0,7,0,0,51,1
277,1,31,4.0,3,0,0,50,1
278,1,32,3.0,4,1,0,47,1
279,1,49,4.0,8,0,0,68,3
280,1,42,5.0,11,0,0,59,2
281,1,32,5.0,7,1,0,49,1
282,1,30,3.0,4,0,0,80,3
283,1,32,5.0,8,0,0,86,3
284,2,29,1.0,2,0,0,74,3
285,2,31,1.0,6,0,0,50,1
286,2,27,3.5,1,1,1,48,3
287,1,30,3.0,2,1,0,58,2
288,1,48,4.0,8,1,0,60,2
289,1,39,5.0,12,0,0,50,1
290,1,35,2.0,7,1,0,87,3
291,1,47,4.0,7,0,0,78,3
292,1,46,5.0,3,1,0,51,1
293,1,37,3.0,2,1,1,97,3
294,1,26,5.0,6,1,0,60,2
295,1,31,5.0,4,1,0,87,3
296,1,26,3.5,1,1,0,56,2
297,1,28,2.0,4,0,0,69,3
298,2,36,1.0,6,1,1,65,3
299,1,35,1.0,7,0,0,80,3
300,1,34,4.0,9,0,0,84,3
301,2,58,5.0,6,1,0,81,3
302,1,29,2.0,5,1,0,50,1
303,1,36,2.0,9,0,0,59,2
304,1,30,1.0,4,0,0,84,3
305,1,40,3.0,10,0,0,49,2
306,1,38,3.0,4,1,0,71,3
307,1,36,2.0,5,0,0,52,1
308,1,41,4.0,9,0,0,49,1
309,1,33,5.0,5,1,0,66,3
310,1,29,1.0,4,0,0,79,3
311,1,33,4.0,8,1,0,81,2
312,1,41,1.0,2,0,0,47,1
313,2,41,3.0,10,0,0,67,3
314,1,41,3.0,4,0,0,60,2
315,1,28,4.0,5,1,0,76,3
316,1,32,5.0,7,1,0,53,1
317,1,25,3.0,3,0,0,77,3
318,1,24,2.0,2,0,0,85,2
319,1,53,4.0,10,1,0,45,1
320,1,38,5.0,12,1,0,49,1
321,1,31,3.0,3,0,0,62,2
322,2,51,3.0,17,0,0,52,1
323,1,42,3.0,4,0,0,59,2
324,1,56,5.0,16,1,0,59,2
325,1,48,4.0,9,0,0,46,1
326,1,56,3.0,2,1,0,65,3
327,1,27,3.5,1,0,0,79,2
328,1,31,4.0,6,0,0,84,3
329,2,33,3.0,3,0,0,72,3
330,1,36,4.0,4,1,0,80,2
331,1,38,5.0,4,1,0,70,3
332,1,36,2.0,4,0,0,64,3
333,1,50,4.0,21,1,0,49,1
334,1,40,1.0,3,0,0,47,1
335,1,26,1.0,2,1,0,54,2
336,1,27,3.0,3,0,0,58,2
337,1,54,5.0,21,0,0,53,1
338,1,29,4.0,7,0,0,67,2
339,3,31,4.0,4,0,0,67,3
340,2,45,5.0,15,0,0,75,3
341,1,29,3.5,1,0,0,84,3
342,1,39,3.0,5,0,0,70,3
343,1,20,3.5,1,0,0,49,1
344,1,28,5.0,2,0,0,51,1
345,1,42,3.0,4,0,0,51,1
346,1,33,4.0,3,0,0,58,2
347,1,33,3.0,4,0,0,52,1
348,1,25,5.0,2,0,0,57,2
349,1,29,3.0,2,0,0,57,2
350,1,28,5.0,2,0,1,95,3
351,1,33,4.0,3,1,0,70,3
352,1,32,3.0,6,0,0,52,2
353,1,32,3.0,5,0,0,57,2
354,1,37,3.0,4,1,0,81,3
355,1,35,5.0,8,0,0,50,1
356,1,56,3.0,12,0,0,79,3
357,3,28,3.0,2,0,0,70,3
358,1,39,3.0,10,0,0,86,3
359,1,40,4.0,11,0,0,59,2
360,2,36,4.0,9,1,0,47,1
361,1,36,3.0,11,0,0,82,3
362,1,30,2.0,5,0,0,88,3
363,1,43,3.0,9,0,0,59,2
364,1,39,2.0,11,0,0,70,2
365,3,32,4.0,6,0,0,62,2
366,1,43,4.0,11,1,0,58,2
367,1,34,4.0,6,1,0,60,2
368,1,29,3.5,1,1,0,89,3
369,1,47,4.0,9,0,0,52,1
370,1,38,1.0,9,1,1,85,3
371,1,30,3.0,6,0,0,58,2
372,1,29,3.0,3,0,0,47,1
373,1,36,3.0,9,0,0,66,3
374,1,40,5.0,7,0,0,56,2
375,1,33,4.0,3,0,0,60,2
376,1,35,2.0,5,0,0,54,2
377,1,23,5.0,2,1,0,54,1
378,3,26,5.0,2,1,0,60,2
379,1,38,3.0,8,0,0,48,1
380,1,38,3.0,10,0,0,90,3
381,1,29,1.0,6,0,0,82,3
382,1,23,3.5,1,0,0,50,1
383,1,41,3.0,4,0,0,51,1
384,1,29,1.0,1,0,0,72,3
385,2,29,1.0,2,0,0,50,1
386,1,31,3.0,9,0,0,51,1
387,1,56,3.0,4,0,0,70,3
388,1,24,4.0,3,0,0,50,1
389,1,50,3.0,15,0,0,67,3
390,1,36,5.0,4,1,0,57,2
391,1,36,5.0,10,1,0,46,1
392,1,42,5.0,14,1,0,64,2
393,1,45,1.0,14,0,0,55,1
394,1,30,3.0,2,1,0,46,1
395,1,28,5.0,2,1,0,86,3
396,1,46,3.0,16,0,0,62,2
397,1,55,4.0,14,0,0,75,3
398,1,35,5.0,10,1,0,50,2
399,1,58,3.0,2,1,1,48,3
400,1,35,5.0,7,0,0,85,3
401,1,30,1.0,7,0,0,58,2
402,2,27,5.0,4,1,0,82,3
403,1,29,1.0,4,0,0,87,3
404,1,34,1.0,3,0,0,87,3
405,1,40,3.0,2,1,0,49,1
406,1,33,5.0,4,1,0,47,1
407,3,40,3.0,4,0,0,56,2
408,1,34,1.0,6,0,0,49,1
409,1,25,3.5,1,0,0,47,1
410,1,28,4.0,6,1,0,47,1
411,4,29,3.0,8,0,1,51,3
412,1,41,4.0,4,0,0,60,1
413,1,43,5.0,15,0,0,74,2
414,1,36,1.0,5,0,0,54,1
415,1,26,3.5,1,1,0,63,2
416,1,26,3.5,1,0,0,48,1
417,1,38,4.0,6,0,0,72,3
418,1,37,4.0,8,0,0,82,3
419,1,35,4.0,8,0,0,59,2
420,1,29,5.0,6,1,0,45,2
421,1,42,3.0,3,0,0,57,1
422,1,35,2.0,10,0,0,81,3
423,1,30,5.0,7,1,0,54,2
424,1,33,5.0,6,0,0,63,2
425,1,29,4.0,3,0,0,43,1
426,1,22,3.5,1,1,0,62,2
427,1,27,1.0,3,0,0,47,1
428,1,24,3.5,1,0,0,76,3
429,1,36,3.0,7,1,1,86,3
430,1,34,5.0,8,1,0,68,3
431,1,40,1.0,4,0,0,80,3
432,1,27,4.0,3,0,0,46,1
433,1,31,5.0,4,0,0,88,3
434,1,34,3.0,3,0,0,49,1
435,1,32,3.0,2,1,0,85,3
436,1,29,3.5,1,0,0,83,3
437,1,28,2.0,5,1,1,45,3
438,1,44,3.0,16,0,0,68,3
439,1,26,5.0,4,1,0,94,3
440,1,27,1.0,2,0,0,64,2
441,1,38,3.0,3,0,0,60,2
442,1,30,4.0,4,0,0,80,3
443,1,29,3.5,1,1,0,54,1
444,2,40,3.0,2,1,0,67,3
445,1,35,5.0,11,1,0,51,1
446,1,42,4.0,17,0,0,78,3
447,1,39,4.0,9,0,0,84,3
448,1,31,4.0,4,0,0,45,1
449,3,29,3.5,1,1,0,80,3
450,1,31,4.0,4,0,0,52,1
451,2,31,5.0,3,1,0,64,2
452,1,31,4.0,3,1,0,81,3
453,2,41,5.0,8,0,0,71,2
454,1,35,2.0,3,0,0,70,3
455,1,33,1.0,2,0,0,62,2
456,2,35,3.0,5,0,0,46,1
457,1,41,2.0,9,0,0,77,3
458,1,38,5.0,9,1,0,58,2
459,1,31,4.0,5,0,0,55,2
460,1,29,3.0,6,0,0,81,3
461,1,45,4.0,7,0,0,52,2
462,1,36,1.0,9,0,0,54,2
463,2,29,5.0,2,0,0,45,1
464,1,44,4.0,4,1,0,50,1
465,1,32,1.0,3,0,0,46,1
466,1,41,3.0,5,0,0,60,2
467,2,29,3.5,1,0,0,61,2
468,1,30,5.0,4,1,0,81,3
469,1,29,3.5,1,0,0,83,3
470,1,27,5.0,3,1,0,52,1
471,1,24,3.5,1,1,0,66,3
472,1,30,5.0,5,1,0,86,3
473,1,34,5.0,5,0,0,63,2
474,2,32,3.0,2,0,0,44,1
475,1,31,4.0,3,0,0,74,3
476,1,35,3.0,7,0,0,56,1
477,1,31,3.0,10,0,0,59,2
478,1,30,2.0,5,1,0,84,3
479,1,54,5.0,11,1,0,71,3
480,1,33,4.0,8,1,0,54,1
481,2,36,4.0,2,0,0,57,2
482,1,34,2.0,6,0,0,76,3
483,1,60,3.0,12,0,0,58,2
484,1,37,3.0,5,0,0,51,1
485,2,34,3.0,7,0,0,60,2
486,1,28,4.0,2,0,0,60,2
487,2,37,2.0,4,0,0,83,3
488,1,52,5.0,11,0,0,63,2
489,1,36,3.0,7,0,0,49,1
490,2,27,4.0,2,0,0,86,3
491,1,33,3.0,2,0,0,48,1
492,1,46,5.0,15,0,0,60,2
493,1,32,2.0,4,1,0,53,1
494,3,42,3.0,4,1,0,68,3
495,1,28,4.0,5,0,0,49,1
496,1,31,5.0,5,1,0,86,3
497,1,43,3.0,5,1,0,66,3
498,1,35,3.0,8,1,0,70,3
499,1,54,4.0,12,0,0,49,1
500,1,40,3.0,5,0,0,47,1
501,1,32,5.0,7,1,0,61,2
502,1,32,4.0,8,1,0,83,3
503,1,41,5.0,12,0,0,52,1
504,3,29,5.0,5,0,0,87,3
505,3,25,3.5,1,0,0,60,2
506,1,28,3.0,5,0,0,49,1
507,1,36,3.0,10,0,0,51,1
508,1,55,3.0,15,0,0,78,3
509,1,39,3.0,6,0,0,53,1
510,1,59,3.0,18,0,0,78,3
511,1,27,3.0,2,0,0,82,3
512,1,34,4.0,8,1,0,55,1
513,1,29,4.0,2,1,0,85,3
514,1,32,1.0,4,0,0,57,2
515,1,31,4.0,4,0,0,82,3
516,1,32,3.0,9,0,0,70,3
517,1,40,3.0,11,0,0,82,3
518,1,28,1.0,3,0,0,82,3
519,1,37,4.0,8,0,0,49,1
520,1,27,1.0,2,0,0,56,2
521,1,29,3.0,3,0,0,57,2
522,1,32,5.0,9,1,0,48,1
523,4,39,3.0,16,0,0,73,3
524,1,35,4.0,7,0,0,50,1
525,1,34,2.0,6,0,0,77,3
526,1,34,4.0,7,1,0,58,2
527,1,35,3.0,8,0,0,78,3
528,2,32,3.0,2,0,0,72,3
529,1,37,1.0,7,0,0,84,3
530,1,34,3.0,7,1,0,82,3
531,3,30,1.0,3,0,0,51,1
532,2,40,5.0,10,0,0,62,2
533,3,29,4.0,5,0,0,52,1
534,1,56,5.0,22,0,0,46,1
535,2,26,3.5,1,1,0,50,1
536,1,33,5.0,8,1,0,57,2
537,1,30,5.0,3,1,0,70,3
538,1,27,3.0,2,0,0,77,2
539,1,33,3.0,7,0,0,56,2
540,1,28,3.5,1,0,0,60,2
541,2,30,3.0,6,0,0,57,2
542,1,58,4.0,5,1,0,64,2
543,1,36,3.0,3,0,0,46,2
544,1,37,1.0,9,0,0,51,1
545,1,27,1.0,4,0,0,61,2
546,1,49,1.0,19,0,0,52,1
547,1,30,5.0,4,0,0,48,1
548,2,34,5.0,5,0,1,75,3
549,1,23,3.5,1,0,0,85,3
550,1,42,5.0,5,0,0,47,1
551,1,26,2.0,3,1,0,44,1
552,1,37,1.0,3,1,0,46,1
553,1,27,3.0,2,1,0,85,3
554,1,36,2.0,7,1,0,49,1
555,2,35,3.0,2,1,0,85,3
556,1,34,5.0,7,0,0,61,2
557,1,34,3.0,8,0,0,81,3
558,1,51,1.0,22,0,0,54,1
559,1,31,4.0,6,0,0,54,2
560,1,44,3.0,3,0,0,58,2
561,2,26,2.0,4,0,0,52,1
562,1,28,3.0,2,0,0,59,2
563,1,59,4.0,11,0,0,70,3
564,1,23,5.0,2,0,0,50,2
565,2,27,5.0,5,1,0,83,3
566,1,35,5.0,8,0,0,49,1
567,1,58,4.0,18,1,0,76,3
568,1,35,2.0,4,0,0,53,1
569,1,30,4.0,4,1,0,91,3
570,2,32,3.0,4,0,0,45,1
571,1,27,3.0,3,1,0,84,3
572,1,26,3.5,1,0,0,50,1
573,1,54,3.0,6,1,0,61,2
574,1,40,1.0,8,0,0,50,1
575,1,29,1.0,2,1,0,52,2
576,1,29,3.0,2,0,0,50,2
577,2,36,5.0,4,0,0,46,1
578,1,31,4.0,3,0,0,87,3
579,1,28,3.5,1,1,0,65,3
580,1,34,3.0,8,0,0,53,1
581,1,33,5.0,5,0,0,82,3
582,1,26,4.0,2,0,0,46,1
583,1,33,1.0,6,0,0,46,1
584,2,27,5.0,3,1,0,77,2
585,1,26,3.0,3,1,0,59,2
586,1,28,5.0,3,0,0,51,1
587,1,34,4.0,10,0,0,63,2
588,1,42,4.0,11,1,0,58,2
589,1,49,5.0,13,1,0,85,3
590,1,37,4.0,9,0,0,59,2
591,1,42,5.0,10,1,0,62,2
592,1,38,2.0,7,0,0,68,3
593,1,28,3.0,3,0,0,71,3
594,1,33,5.0,6,0,0,49,1
595,3,42,3.0,12,0,0,58,2
596,1,34,4.0,3,1,0,57,2
597,1,22,3.0,2,0,0,57,2
598,1,29,1.0,4,1,0,60,2
599,1,38,3.0,3,1,0,83,3
600,1,40,5.0,11,0,0,74,3
601,1,38,5.0,8,0,0,58,2
602,1,34,1.0,9,0,0,46,1
603,2,32,5.0,5,0,0,90,3
604,1,33,3.0,4,0,0,75,3
605,2,39,3.0,12,0,0,46,1
606,1,41,5.0,11,0,0,54,1
607,1,34,4.0,7,0,0,55,2
608,1,43,4.0,14,0,0,60,2
609,1,43,3.0,6,0,0,46,1
610,1,56,3.0,15,0,0,63,2
611,1,28,5.0,4,1,0,46,1
612,1,33,3.0,2,1,0,62,2
613,1,35,5.0,8,1,0,49,1
614,1,35,1.0,9,0,0,52,1
615,1,36,3.0,3,0,0,78,3
616,1,27,3.5,1,0,0,45,1
617,1,32,5.0,6,1,0,57,2
618,5,32,3.0,8,0,0,67,3
619,2,30,5.0,2,0,0,57,2
620,1,49,3.0,7,1,0,75,3
621,1,50,4.0,8,1,0,74,2
622,2,25,3.0,2,1,0,67,3
623,1,42,2.0,7,1,0,62,2
624,1,29,1.0,4,0,0,53,1
625,2,25,3.5,1,0,0,54,2
626,3,29,3.0,6,1,0,67,3
627,1,33,5.0,7,1,0,54,1
628,1,49,1.0,16,0,0,47,1
629,1,34,5.0,10,1,0,60,2
630,1,38,3.0,8,1,0,49,1
631,1,60,1.0,3,0,0,60,2
632,1,38,2.0,4,0,0,56,2
633,1,30,3.0,2,0,0,49,2
634,1,31,4.0,9,0,0,48,2
635,1,37,5.0,3,1,0,82,3
636,3,27,3.5,1,0,0,50,1
637,3,32,2.0,8,0,0,49,1
638,1,31,4.0,5,0,0,59,2
639,1,33,1.0,7,0,0,45,1
640,1,42,5.0,7,1,1,91,3
641,1,33,3.0,5,1,0,73,3
642,1,34,1.0,7,0,0,50,1
643,1,54,3.0,8,0,0,80,3
644,1,33,4.0,5,0,0,62,2
645,2,38,5.0,10,0,0,63,1
646,1,33,3.0,10,0,0,64,2
647,1,23,3.5,1,0,0,48,2
648,1,41,3.0,3,0,0,53,1
649,1,37,2.0,3,0,0,80,3
650,2,46,5.0,18,1,0,66,3
651,2,29,3.5,1,0,0,72,3
652,1,30,2.0,5,0,0,66,3
653,1,54,1.0,3,0,0,49,2
654,1,37,5.0,11,0,0,50,2
655,1,47,3.0,17,1,0,62,2
656,2,33,3.0,2,0,0,59,2
657,1,30,4.0,5,0,0,80,3
658,2,28,3.0,2,0,0,81,3
659,1,36,3.0,4,0,0,54,1
660,1,28,3.5,1,0,0,83,3
661,1,41,5.0,5,1,0,67,3
662,1,29,2.0,5,0,0,49,1
663,1,28,3.0,1,0,0,80,3
664,1,25,3.5,1,1,0,56,2
665,1,48,3.0,5,0,0,49,2
666,1,29,5.0,7,1,0,59,2
667,1,52,3.0,5,0,0,71,3
668,1,39,3.0,14,0,0,77,3
669,1,30,5.0,6,1,0,59,2
670,1,30,3.0,6,1,0,61,2
671,1,25,3.5,1,1,0,48,2
672,1,43,3.0,4,0,0,84,3
673,1,25,3.5,1,0,0,48,2
674,1,26,4.0,3,1,0,50,1
675,1,33,4.0,7,1,0,57,2
676,1,38,4.0,4,1,0,60,2
677,1,27,3.0,2,0,0,59,2
678,1,29,4.0,5,1,0,50,1
679,1,40,5.0,4,0,0,48,1
680,1,44,4.0,15,0,0,81,3
681,1,33,3.0,4,0,0,52,1
682,2,33,1.0,5,0,0,49,1
683,1,49,5.0,5,1,0,50,1
684,1,28,4.0,4,0,0,50,1
685,1,27,3.0,6,1,0,53,1
686,2,34,3.0,8,0,0,87,3
687,1,42,3.0,14,1,0,53,1
688,2,56,3.0,23,0,0,84,3
689,1,31,4.0,4,0,1,85,3
690,2,36,5.0,7,1,0,68,3
691,2,39,5.0,8,0,0,58,2
692,2,33,3.0,7,0,0,53,1
693,2,53,3.0,13,0,0,58,2
